Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P23538	-3.03199002841396	-3.0978190310859	-2.96616102574202	24.9418093080425	-95.0648478279349	1.0236133135429e-33	2.8415505583951e-30	63.7265229785978	P23538	65	-97.791428783647	1.0236133135429e-33	2.8415505583951e-30
P27306	-1.82966571399821	-1.8894597219828	-1.76987170601363	23.8321954042051	-63.1572990573687	2.44845058523359e-29	3.39844941230423e-26	54.5990867320958	P27306	41	-65.1278984403919	2.44845058523359e-29	3.39844941230423e-26
P41409	-1.63681377597653	-1.68998539301361	-1.58364215893946	21.8982641538228	-63.5373163730473	7.58214013436129e-29	7.01600700432899e-26	54.7376476116934	P41409	9	-62.2207918271896	7.58214013436129e-29	7.01600700432899e-26
P0A8A4	-1.43219899429791	-1.48167196601947	-1.38272602257635	21.7188675197779	-59.7509521663812	1.63057029629257e-28	1.13161578562704e-25	53.3136990433593	P0A8A4	15	-60.3246631326945	1.63057029629257e-28	1.13161578562704e-25
P37689	2.5277877367464	2.43572649888649	2.6198489746063	24.5004418397134	56.6726155461652	4.22156880895209e-28	2.3438150027302e-25	52.0799981406654	P37689	48	58.0483087769492	4.22156880895209e-28	2.3438150027302e-25
P76594	-2.20750185345326	-2.29164181353306	-2.12336189337345	20.6551453412077	-54.1512192396728	1.34963449678126e-27	6.24430893844129e-25	51.0133556888792	P76594	25	-55.3818697360455	1.34963449678126e-27	6.24430893844129e-25
P33025	-2.78759146436157	-2.89299217659185	-2.68219075213129	20.0717356364612	-54.5877312352147	2.07620717703797e-27	8.23364446208199e-25	51.2018469543385	P33025	6	-54.4246501804406	2.07620717703797e-27	8.23364446208199e-25
P09832	1.31331791137221	1.26120978092562	1.36542604181881	25.5471761512758	52.0204182676231	2.70276347319111e-27	8.5703912279033e-25	50.0689552395394	P09832	60	53.8465809313608	2.70276347319111e-27	8.5703912279033e-25
P02925	-2.28042176357354	-2.36982644210573	-2.19101708504135	24.1927486982431	-52.6458807029851	2.77858505227412e-27	8.5703912279033e-25	50.3504462322166	P02925	23	-53.7862891934626	2.77858505227412e-27	8.5703912279033e-25
P0A9D8	1.08479094727264	1.03807531534817	1.13150657919711	25.5272341681207	47.9284394395732	2.5605412802148e-26	7.1080625938763e-24	48.1327302102897	P0A9D8	21	49.1569278230765	2.5605412802148e-26	7.1080625938763e-24
P04983	-1.74431442379423	-1.82061149322073	-1.66801735436773	20.5464206350944	-47.1874359134991	4.68844914477017e-26	1.18319407508018e-23	47.7633082105727	P04983	16	-47.9653249197365	4.68844914477017e-26	1.18319407508018e-23
P0AFT5	-1.48229846659678	-1.54700076540733	-1.41759616778623	21.7077146919688	-47.2852198369147	6.42979410700846e-26	1.42569314206201e-23	47.8124082701513	P0AFT5	11	-47.3544194884122	6.42979410700846e-26	1.42569314206201e-23
P0A796	1.72375854834001	1.64637864947282	1.80113844720719	24.3940650627252	45.9788113121272	7.09218871802514e-26	1.42569314206201e-23	47.1473916556284	P0A796	36	47.1663205318122	7.09218871802514e-26	1.42569314206201e-23
P23721	0.802840373119473	0.765902245445891	0.839778500793054	26.662941582467	44.8604669883792	7.1900950968545e-26	1.42569314206201e-23	46.5620993889737	P23721	38	47.140077264422	7.1900950968545e-26	1.42569314206201e-23
P0A761	-1.11505723317122	-1.16349756465088	-1.06661690169157	22.4188987776162	-47.5115847983722	1.2020572869793e-25	2.22460735243635e-23	47.9256612473239	P0A761	9	-46.1666226119123	1.2020572869793e-25	2.22460735243635e-23
P15078	-3.96002676199848	-4.13896986794201	-3.78108365605494	20.2332279583855	-45.6764784960594	1.44124342666523e-25	2.50055734526418e-23	46.9906523028082	P15078	4	-45.827599050278	1.44124342666523e-25	2.50055734526418e-23
P77318	-2.53276475689027	-2.64871342085078	-2.41681609292975	22.0668425275914	-45.0856743453599	1.90625133356685e-25	3.11279629528327e-23	46.6811863802387	P77318	7	-45.309951101499	1.90625133356685e-25	3.11279629528327e-23
P0A9P0	-1.20579648963893	-1.26293218017157	-1.14866079910629	26.9176112916059	-43.5588092177659	2.32778156406563e-25	3.58995645658122e-23	45.8612959204903	P0A9P0	66	-44.9436322500775	2.32778156406563e-25	3.58995645658122e-23
P22259	-2.89810910989635	-3.03503316129154	-2.76118505850116	24.8262991108428	-43.6862186773139	2.77970840282034e-25	4.06130027696276e-23	45.9308521215236	P22259	53	-44.6207153532264	2.77970840282034e-25	4.06130027696276e-23
P25888	1.85904517089547	1.76892328756339	1.94916705422756	20.8086458232787	42.5764206133045	5.55006764559858e-25	7.34583251396128e-23	45.3177576826895	P25888	18	43.383742356699	5.55006764559858e-25	7.34583251396128e-23
P37661	-1.13651276353243	-1.19025302685788	-1.08277250020699	20.4097153266292	-43.6499742080868	5.55700586430789e-25	7.34583251396128e-23	45.9110868692134	P37661	11	-43.381537959742	5.55700586430789e-25	7.34583251396128e-23
P0ABH7	-1.75788289994453	-1.84394304588883	-1.67182275400024	27.9865370789664	-42.1596820939557	6.11866360041689e-25	7.72064097943514e-23	45.0832324804121	P0ABH7	56	-43.2119764639574	6.11866360041689e-25	7.72064097943514e-23
P0A6T3	-1.14979133672414	-1.20624882451462	-1.09333384893365	22.4978703432463	-42.0346027001261	6.62937026224103e-25	8.00136167303526e-23	45.0123728088825	P0A6T3	22	-43.0712928159988	6.62937026224103e-25	8.00136167303526e-23
P06987	1.21132620564194	1.15118471372141	1.27146769756247	24.2058776498876	41.5715655101739	7.77633290403301e-25	8.99462505899818e-23	44.7481390298222	P06987	32	42.7925814471592	7.77633290403301e-25	8.99462505899818e-23
P76558	-1.56527709534461	-1.64309663523608	-1.48745755545313	24.2661407631231	-41.5156685225932	9.03779746814084e-25	1.00355703086236e-22	44.7160352660322	P76558	85	-42.5316239671188	9.03779746814084e-25	1.00355703086236e-22
P00864	1.26752017118805	1.20419488743107	1.33084545494502	25.1780288022546	41.3130443295936	1.02118340337492e-24	1.09030966452645e-22	44.5992845368886	P00864	105	42.3207582510108	1.02118340337492e-24	1.09030966452645e-22
P0A6D3	0.958008251507668	0.908793867596843	1.00722263541849	23.0655555636158	40.177847048953	1.55696427424415e-24	1.60078993529695e-22	43.9340585198691	P0A6D3	34	41.600340646801	1.55696427424415e-24	1.60078993529695e-22
P0AEE5	-4.72787776983787	-4.97202389548099	-4.48373164419476	23.7163231455596	-39.9692378904863	2.60084155311719e-24	2.57854862551904e-22	43.8097094565673	P0AEE5	21	-40.7400109518977	2.60084155311719e-24	2.57854862551904e-22
P0AAG8	-4.22537581973642	-4.44356913552086	-4.00718250395198	22.6954180379074	-39.969927886771	2.82101772587809e-24	2.70039489897848e-22	43.8101218530651	P0AAG8	8	-40.6053506324959	2.82101772587809e-24	2.70039489897848e-22
P0AFG3	-1.67575930838546	-1.76468114801305	-1.58683746875786	25.0315128202886	-38.8966918001132	4.6298552145112e-24	4.28415935849436e-22	43.1596728320768	P0AFG3	87	-39.7936786957202	4.6298552145112e-24	4.28415935849436e-22
P0A830	-3.37724937769549	-3.54537676537789	-3.20912199001308	19.0424480447763	-41.4604612564605	5.76910639511911e-24	5.16614172672602e-22	44.6842837101064	P0A830	2	-39.4383296101901	5.76910639511911e-24	5.16614172672602e-22
Q46851	-2.20393957760034	-2.32234123183102	-2.08553792336967	22.6944227320603	-38.4194707512268	6.51927582283747e-24	5.54029990211865e-22	42.8645193854788	Q46851	29	-39.2421994407292	6.51927582283747e-24	5.54029990211865e-22
P08839	1.72670882472041	1.63368661818994	1.81973103125088	25.3582713479897	38.3126273771989	6.58609138220156e-24	5.54029990211865e-22	42.7979252707369	P08839	65	39.225882676821	6.58609138220156e-24	5.54029990211865e-22
P0A9J6	-1.0634283884456	-1.12062794768027	-1.00622882921092	21.9961854687111	-38.37293620356	7.93204243926684e-24	6.47627935629551e-22	42.8355382704812	P0A9J6	16	-38.9294771030137	7.93204243926684e-24	6.47627935629551e-22
P25906	-1.00346695818311	-1.05785515123743	-0.949078765128786	21.7283922282135	-38.0809619553902	9.67616155713113e-24	7.67457842359887e-22	42.6528776746417	P25906	16	-38.6150610625587	9.67616155713113e-24	7.67457842359887e-22
P76503	-2.58207430874084	-2.72268964777927	-2.44145896970241	20.591281114338	-37.900549128907	1.03459017911298e-23	7.97783982560452e-22	42.5392949889732	P76503	12	-38.5097446717757	1.03459017911298e-23	7.97783982560452e-22
P37440	-2.10785923834696	-2.22314396614389	-1.99257451055002	21.7658895171818	-37.738035722596	1.07140009804157e-23	8.03839641125244e-22	42.4365085277968	P37440	18	-38.4548393056631	1.07140009804157e-23	8.03839641125244e-22
P24203	-1.65365861533298	-1.74441419616933	-1.56290303449664	23.1448383276105	-37.6081509523955	1.14711201573964e-23	8.37995514656113e-22	42.3540343729262	P24203	19	-38.3478235992609	1.14711201573964e-23	8.37995514656113e-22
P0AEW9	1.91058535425748	1.80571380475651	2.01545690375844	21.3014182418618	37.6026301927426	1.37692548410215e-23	9.80088498427585e-22	42.3505223826846	P0AEW9	11	38.0630438431467	1.37692548410215e-23	9.80088498427585e-22
P04982	-2.04161512903053	-2.15259967057324	-1.93063058748782	22.4896564833478	-37.968273308165	1.4958645973291e-23	1.01329702345406e-21	42.5819966623876	P04982	6	-37.9345102865491	1.4958645973291e-23	1.01329702345406e-21
P18843	0.770044500008812	0.726665948934934	0.81342305108269	24.79937914965	36.6395596747361	1.49658422051933e-23	1.01329702345406e-21	41.7297117407273	P18843	27	37.9337653642699	1.49658422051933e-23	1.01329702345406e-21
P0AC41	-2.27502843100731	-2.40195143172121	-2.1481054302934	25.3452931866733	-36.996101426304	1.63647061877897e-23	1.08162915184058e-21	41.9614553666425	P0AC41	65	-37.7956128799807	1.63647061877897e-23	1.08162915184058e-21
Q6BF16	-1.85353581007413	-1.9479636929487	-1.75910792719955	17.1791088589295	-40.5144728442904	1.74377372428991e-23	1.12574787409972e-21	44.1333221132414	Q6BF16	3	-37.6977176338294	1.74377372428991e-23	1.12574787409972e-21
P76128	-2.23614733365647	-2.36044794932695	-2.11184671798598	22.3645495436645	-37.1309960147324	1.91407987552679e-23	1.207610394196e-21	42.0485431777556	P76128	9	-37.5545231642538	1.91407987552679e-23	1.207610394196e-21
P37349	1.2745727711676	1.20259475474806	1.34655078758715	24.0125575025239	36.5488929062847	2.00857183636673e-23	1.23906564838979e-21	41.6704158206734	P37349	29	37.4806825848546	2.00857183636673e-23	1.23906564838979e-21
P19926	-1.80156119745409	-1.90322223013797	-1.69990016477021	23.1769572363552	-36.5766533583963	2.1374774641542e-23	1.26837722141683e-21	41.6885869291091	P19926	28	-37.3855723745428	2.1374774641542e-23	1.26837722141683e-21
P60757	1.37711022579038	1.29915489639105	1.45506555518971	24.6410301121406	36.4613174040639	2.14746863856596e-23	1.26837722141683e-21	41.6129999196649	P60757	32	37.378451252479	2.14746863856596e-23	1.26837722141683e-21
P0A836	-2.15531292439938	-2.27708711879455	-2.0335387300042	25.9661923785799	-36.5312499448425	2.2117856743757e-23	1.27914938168061e-21	41.6588600306404	P0A836	42	-37.3334184570174	2.2117856743757e-23	1.27914938168061e-21
P0ACL5	-1.97241642280204	-2.08268605944989	-1.8621467861542	19.7029422680537	-36.919187145479	2.31329130396649e-23	1.31055033873693e-21	41.911655160946	P0ACL5	9	-37.2650456983989	2.31329130396649e-23	1.31055033873693e-21
P08202	-1.57438709756636	-1.66274523566084	-1.48602895947189	19.1073491443423	-36.7768416975957	2.68866516705512e-23	1.492746900749e-21	41.8192114691004	P08202	10	-37.0367935816791	2.68866516705512e-23	1.492746900749e-21
P0ACL9	-1.35473737144934	-1.43238395235245	-1.27709079054622	22.2711163724564	-36.0115851723664	3.37697480891671e-23	1.838133739128e-21	41.3159317511759	P0ACL9	18	-36.6933822623476	3.37697480891671e-23	1.838133739128e-21
P06720	-2.15868964045706	-2.28189097068858	-2.03548831022553	21.1873527058175	-36.1646506752798	3.52590160429228e-23	1.88228901029142e-21	41.4174575832581	P06720	10	-36.6287098332943	3.52590160429228e-23	1.88228901029142e-21
P0ACJ8	-1.05024666357068	-1.11126536424995	-0.989227962891417	26.0072681811486	-35.5253053153349	3.59903307648432e-23	1.88507845666424e-21	40.9904735041658	P0ACJ8	37	-36.5979841048432	3.59903307648432e-23	1.88507845666424e-21
P0A8Y5	0.626261662618667	0.589725637414632	0.662797687822702	22.840577309006	35.37887286403	3.75955548373051e-23	1.93269000422887e-21	40.8915878681507	P0A8Y5	22	36.5327576112763	3.75955548373051e-23	1.93269000422887e-21
P69786	1.67838651482254	1.58123365485429	1.77553937479079	24.2592820018259	35.6570866020328	3.97477242298246e-23	2.00617604476351e-21	41.0791144378246	P69786	27	36.4497095386626	3.97477242298246e-23	2.00617604476351e-21
P0AB91	0.921107477431661	0.866991461304546	0.975223493558777	26.8293682118622	35.1312784619014	4.28143652792377e-23	2.0965785354899e-21	40.7234456996132	P0AB91	47	36.3391152828762	4.28143652792377e-23	2.0965785354899e-21
P22564	-1.22044275740697	-1.29063465689124	-1.1502508579227	20.5785944214702	-35.8872254874363	4.30493431278545e-23	2.0965785354899e-21	41.2331243506736	P22564	14	-36.3309835072479	4.30493431278545e-23	2.0965785354899e-21
P09831	1.29161267472399	1.21573245338654	1.36749289606145	26.3391697087578	35.1328331566178	6.12414978591154e-23	2.93114479408456e-21	40.7245052167146	P09831	135	35.8109777907098	6.12414978591154e-23	2.93114479408456e-21
P0A9T0	0.879851287732112	0.827114555583962	0.932588019880262	27.5929916754105	34.4354310015033	7.29351143265331e-23	3.39702814839388e-21	40.2444320164638	P0A9T0	32	35.5558450715908	7.29351143265331e-23	3.39702814839388e-21
P76346	-1.49049602901422	-1.57699906831824	-1.40399298971019	22.0832408681611	-35.5638623553295	7.34227985964094e-23	3.39702814839388e-21	41.016442666531	P76346	8	-35.5461497541788	7.34227985964094e-23	3.39702814839388e-21
P0AG71	-1.02350974285116	-1.08417164929441	-0.96284783640792	20.1042981872962	-34.8245401463103	8.01818779695975e-23	3.64893267612463e-21	40.5134766493547	P0AG71	17	-35.4182730805998	8.01818779695975e-23	3.64893267612463e-21
P0AE22	-2.27919198711072	-2.41397935225641	-2.14440462196504	21.4186579335646	-34.9012667316981	8.20716425369126e-23	3.67469160778176e-21	40.5661716211673	P0AE22	10	-35.3845204168643	8.20716425369126e-23	3.67469160778176e-21
P0A993	-0.964572505356223	-1.0225537117274	-0.906591298985047	23.7787735971967	-34.3365846760434	8.41784604848033e-23	3.70919692548911e-21	40.1755998151206	P0A993	30	-35.3478304690365	8.41784604848033e-23	3.70919692548911e-21
P0A9B2	1.26410367585019	1.18775693474229	1.34045041695808	29.0398692180606	34.1744595055647	1.02564369168802e-22	4.4487295126968e-21	40.0622716085355	P0A9B2	68	35.0631197848461	1.02564369168802e-22	4.4487295126968e-21
P77348	-0.832378207447608	-0.883197496544085	-0.781558918351131	23.9476702435019	-33.8066066171379	1.19130680240127e-22	5.08779643610141e-21	39.8031258165297	P77348	27	-34.8487994647245	1.19130680240127e-22	5.08779643610141e-21
P39358	-0.904317929287551	-0.956225887794754	-0.852409970780348	20.597828146232	-35.9580934480184	1.24565497228747e-22	5.12395401407527e-21	41.2803486784202	P39358	8	-34.7851888854439	1.24565497228747e-22	5.12395401407527e-21
P06149	-0.729613554063885	-0.774658196572929	-0.684568911554841	23.8354157312426	-33.4317578812328	1.24703677928222e-22	5.12395401407527e-21	39.5361331934644	P06149	62	-34.7836094237698	1.24703677928222e-22	5.12395401407527e-21
P60664	1.09829412095428	1.03145163373234	1.16513660817621	22.8009412297038	33.9137271155468	1.25514723687723e-22	5.12395401407527e-21	39.8788805208646	P60664	26	34.7743753576859	1.25514723687723e-22	5.12395401407527e-21
P25553	-3.8719074857795	-4.1067387527869	-3.6370762187721	24.8719395140516	-34.0312980558111	1.31654557311373e-22	5.29671088545464e-21	39.9617504721989	P25553	45	-34.7064202977256	1.31654557311373e-22	5.29671088545464e-21
P77674	-2.88037893244725	-3.056182250245	-2.70457561464951	22.545417823046	-33.8167621574602	1.56659217519882e-22	6.21265696907417e-21	39.8103180270528	P77674	18	-34.460068295659	1.56659217519882e-22	6.21265696907417e-21
P77399	-1.86891579675607	-1.98289220940615	-1.75493938410599	20.6158007969328	-33.8441970804595	1.63184387783463e-22	6.38027972516753e-21	39.8297367937305	P77399	14	-34.4024995221178	1.63184387783463e-22	6.38027972516753e-21
P0ADF6	1.61032685654089	1.51392923124926	1.70672448183251	19.5481596741714	34.4791987435634	1.84042793529274e-22	7.09587215051757e-21	40.2748466320382	P0ADF6	6	34.2333436468851	1.84042793529274e-22	7.09587215051757e-21
P64499	2.05058025439106	1.9314746061529	2.16968590262923	19.1789789239401	35.5348002204524	1.9739540582138e-22	7.46285206015174e-21	40.9968712053143	P64499	3	34.1352163617627	1.9739540582138e-22	7.46285206015174e-21
P60422	0.459438649618487	0.429629765241086	0.489247533995889	27.3805127028633	31.8120215844017	1.99766853399778e-22	7.46285206015174e-21	38.3470694891161	P60422	49	34.1185123601543	1.99766853399778e-22	7.46285206015174e-21
P31142	-1.08306198395058	-1.14993023436341	-1.01619373353774	23.2543790564113	-33.4304956889941	2.01626046293725e-22	7.46285206015174e-21	39.535229130773	P31142	19	-34.1055600706527	2.01626046293725e-22	7.46285206015174e-21
P69922	-1.53143949884538	-1.62580330642317	-1.43707569126759	20.0909318819539	-33.4968410185243	2.31168933117998e-22	8.44374945178372e-21	39.5827037543315	P69922	12	-33.9149311134396	2.31168933117998e-22	8.44374945178372e-21
P46118	-1.3650324327269	-1.45002524204978	-1.28003962340402	20.6729207774074	-33.14898612322	2.67630709474505e-22	9.64860843508084e-21	39.3327379731051	P46118	16	-33.7118773355012	2.67630709474505e-22	9.64860843508084e-21
P08331	-1.06894868841541	-1.13662499636042	-1.00127238047039	21.8825814107668	-32.6009056568444	3.04427809069714e-22	1.08345076663785e-20	38.9335358661868	P08331	43	-33.534234828514	3.04427809069714e-22	1.08345076663785e-20
P39187	-3.37079216944889	-3.58015396219425	-3.16143037670354	21.9605610502306	-33.2310460334042	3.16790974318613e-22	1.11317942368161e-20	39.3919407074691	P39187	4	-33.4795236188204	3.16790974318613e-22	1.11317942368161e-20
P0A9G6	-1.88840608602559	-2.00784277896375	-1.76896939308743	27.5443640322953	-32.6337577860593	3.46557954821505e-22	1.20255610323062e-20	38.9576517639142	P0A9G6	50	-33.3564082216494	3.46557954821505e-22	1.20255610323062e-20
P28722	1.73257764430432	1.63093888484829	1.83421640376035	17.0607059227996	35.1838057940224	4.13174105099009e-22	1.41601397006771e-20	40.75921670915	P28722	3	33.1166366118884	4.13174105099009e-22	1.41601397006771e-20
P02924	-2.51551499285219	-2.67542159146732	-2.35560839423707	20.3833647043677	-32.4690804185185	4.61287132505173e-22	1.56162570711507e-20	38.8365227149045	P02924	10	-32.9672599482466	4.61287132505173e-22	1.56162570711507e-20
P08839;P32670;P77439	1.81752427181454	1.7091230825555	1.92592546107357	23.8873594449531	34.6063373132608	4.97141306760474e-22	1.66272803321334e-20	40.3629771188151	P08839;P32670;P77439	3	32.8661191281895	4.97141306760474e-22	1.66272803321334e-20
P06988	1.18590630809612	1.10956878268018	1.26224383351207	24.4540086283204	32.0643001855744	5.10520571609069e-22	1.68245504235723e-20	38.5361716434267	P06988	26	32.8303076942575	5.10520571609069e-22	1.68245504235723e-20
P0A6F3	-1.9945788762187	-2.12273849757113	-1.86641925486628	22.0901303174925	-32.122509322166	5.1516094596673e-22	1.68245504235723e-20	38.5795943611727	P0A6F3	41	-32.8181144693862	5.1516094596673e-22	1.68245504235723e-20
P09323	-1.04579365118286	-1.11311243507593	-0.97847486728979	22.4752361792219	-32.0641109958009	5.21687294169395e-22	1.68395805652819e-20	38.5360303846231	P09323	22	-32.8011573760235	5.21687294169395e-22	1.68395805652819e-20
P0AGE9	-1.99778102182032	-2.12780985025363	-1.86775219338701	25.8589330318108	-31.7115666298033	7.05809753895372e-22	2.25210100783167e-20	38.2713568395998	P0AGE9	42	-32.3965027890873	7.05809753895372e-22	2.25210100783167e-20
P37351	-1.01590667828121	-1.0803505985869	-0.951462757975528	21.0516135240829	-32.5372862068839	7.82470532766339e-22	2.46833886245382e-20	38.8867656763369	P37351	9	-32.259564646664	7.82470532766339e-22	2.46833886245382e-20
P07014	-2.34955163629976	-2.50317411823591	-2.19592915436361	24.66536195736	-31.5674630517003	8.08326437526637e-22	2.51003504285323e-20	38.1623306826203	P07014	31	-32.2165041758691	8.08326437526637e-22	2.51003504285323e-20
P06986	1.13794159091118	1.0632871987951	1.21259598302727	24.2516162158843	31.4611121954546	8.13772168072013e-22	2.51003504285323e-20	38.0815512734189	P06986	25	32.2076174485521	8.13772168072013e-22	2.51003504285323e-20
P0AFG8	-1.12867016867251	-1.20266350924025	-1.05467682810477	27.2284969078336	-31.4835630200535	8.47124052391638e-22	2.58419381257054e-20	38.098626392025	P0AFG8	119	-32.1545047673285	8.47124052391638e-22	2.58419381257054e-20
P0A9P6	1.52516327365648	1.42445291728386	1.6258736300291	22.9991773792969	31.2573150543079	9.61533005645708e-22	2.90132133007879e-20	37.9259988360083	P0A9P6	44	31.9875398985838	9.61533005645708e-22	2.90132133007879e-20
P37188	-1.8667097132067	-1.99209476146827	-1.74132466494514	25.9394538234085	-30.7284390892333	1.63186740099671e-21	4.87103645716868e-20	37.5176050649687	P37188	17	-31.2992813020996	1.63186740099671e-21	4.87103645716868e-20
P0A6J5	-2.12248078930199	-2.26530694292964	-1.97965463567434	22.5137053342052	-30.6722398515556	1.65246100769699e-21	4.88003378443282e-20	37.4738018894066	P0A6J5	22	-31.283136190523	1.65246100769699e-21	4.88003378443282e-20
P36683	-1.43345623900959	-1.53099447301453	-1.33591800500465	26.6135581587814	-30.3332549411487	2.13563138705632e-21	6.24053971628248e-20	37.2079011908792	P36683	117	-30.9546519622992	2.13563138705632e-21	6.24053971628248e-20
P37685	-2.31571960803169	-2.47337006759531	-2.15806914846806	22.7460292374376	-30.3179753874701	2.22642825519894e-21	6.43808837128361e-20	37.1958471477573	P37685	19	-30.9016407649155	2.22642825519894e-21	6.43808837128361e-20
P0AC33	-1.64197577390486	-1.75418128653926	-1.52977026127046	23.0308966062704	-30.2038298501817	2.26105434500653e-21	6.47081119766818e-20	37.1056084037027	P0AC33	41	-30.8820139589254	2.26105434500653e-21	6.47081119766818e-20
P10371	1.1692887162393	1.0887895331615	1.24978789931709	22.1066497672124	29.9805606288677	3.01662558217877e-21	8.54505368992681e-20	36.9281288028195	P10371	17	30.5175229509939	3.01662558217877e-21	8.54505368992681e-20
P0AFG6	-1.51159780755572	-1.61649349471497	-1.40670212039647	26.865989113811	-29.7432269675013	3.25453715305691e-21	9.12585367362222e-20	36.7380420755397	P0AFG6	38	-30.4222347076077	3.25453715305691e-21	9.12585367362222e-20
P16681	-1.31443379743472	-1.40412810641757	-1.22473948845188	20.412666105758	-30.24706873113	3.35563267131483e-21	9.31523629556998e-20	37.1398306304354	P16681	9	-30.3839159386322	3.35563267131483e-21	9.31523629556998e-20
P0A7F9	0.670331783478208	0.624477333258825	0.716186233697591	21.1263440376071	30.1729508382183	4.14193324266724e-21	1.13841650313309e-19	37.0811391649173	P0A7F9	13	30.1214458728736	4.14193324266724e-21	1.13841650313309e-19
P05793	1.09306686218951	1.01636723971752	1.16976648466151	26.93950074584	29.4146013011529	4.22441109867869e-21	1.14943259424752e-19	36.4723700305453	P05793	100	30.09697379319	4.22441109867869e-21	1.14943259424752e-19
P75682	-1.58158773737971	-1.68748267429723	-1.47569280046219	19.4149123323458	-30.8267370014323	4.26482554782042e-21	1.14943259424752e-19	37.5940316873356	P75682	4	-30.0851630229551	4.26482554782042e-21	1.14943259424752e-19
P77569	-1.35900966941998	-1.45361827575131	-1.26440106308865	21.3404608182592	-29.6484071446724	4.33443163231097e-21	1.1540779339992e-19	36.6616826068803	P77569	13	-30.0650913126724	4.33443163231097e-21	1.1540779339992e-19
P07001	0.828490364487656	0.76978997491113	0.887190754064183	24.6591051506473	29.1310368422031	4.36520832384425e-21	1.1540779339992e-19	36.2407839804983	P07001	42	30.0563230497274	4.36520832384425e-21	1.1540779339992e-19
P0ADM4	-1.09480870086401	-1.16773393030648	-1.02188347142154	20.8980360797624	-30.9863127667677	5.62918788891044e-21	1.47420996034107e-19	37.7175918600742	P0ADM4	5	-29.7427856540727	5.62918788891044e-21	1.47420996034107e-19
P75801	1.07589949805214	1.00310100409707	1.14869799200721	20.6009209671765	30.504139212295	5.7156540758735e-21	1.4828650200584e-19	37.3423066152667	P75801	6	29.7240899770864	5.7156540758735e-21	1.4828650200584e-19
P07913	-1.08094489605503	-1.15717982784366	-1.00470996426641	21.9990070414798	-29.2657058607802	6.03696540737045e-21	1.55172370100559e-19	36.3510409616307	P07913	14	-29.657102868457	6.03696540737045e-21	1.55172370100559e-19
P09127	-0.457408316671543	-0.490854586919355	-0.423962046423731	23.5551194115019	-28.2270716953227	6.13183423662669e-21	1.56164879274089e-19	35.4875681425346	P09127	29	-29.6380315881545	6.13183423662669e-21	1.56164879274089e-19
P0AD01	-0.911179193367378	-0.974039570942123	-0.848318815792632	21.3722345293524	-29.9182559325462	6.20989785859485e-21	1.56715240504176e-19	36.8783705303155	P0AD01	9	-29.6225671543585	6.20989785859485e-21	1.56715240504176e-19
P77712	-1.6488031746484	-1.7630573963878	-1.53454895290899	21.1630116474327	-29.785577353407	6.34503512761343e-21	1.58683040668963e-19	36.7720703204822	P77712	5	-29.5962679126715	6.34503512761343e-21	1.58683040668963e-19
P29012	-2.59677329414636	-2.78254717271412	-2.41099941557859	21.663908415241	-28.8508658844749	7.6874893434026e-21	1.9053991444005e-19	36.0097982125635	P29012	13	-29.3627876416911	7.6874893434026e-21	1.9053991444005e-19
Q46863	-1.17254800688328	-1.25512990601835	-1.0899661077482	19.3654090206803	-29.305911301757	8.52735992749548e-21	2.09486293440066e-19	36.3838621475812	Q46863	8	-29.2373761729862	8.52735992749548e-21	2.09486293440066e-19
Q46938	-1.28092109482435	-1.36307442206967	-1.19876776757904	17.9655407683406	-32.1815297748625	8.97786543363577e-21	2.18618898629587e-19	38.6235426646912	Q46938	3	-29.1752947529096	8.97786543363577e-21	2.18618898629587e-19
P09148	-0.825329496119149	-0.885145285023039	-0.76551370721526	20.5968584337334	-28.4787547526475	1.12680337057151e-20	2.72000535365785e-19	35.699610722437	P09148	16	-28.9027951325576	1.12680337057151e-20	2.72000535365785e-19
P0A6L4	-1.49105838125986	-1.59927324827835	-1.38284351424137	21.9904751667863	-28.4391873532832	1.2784529974341e-20	3.05947027661816e-19	35.6663961711807	P0A6L4	10	-28.7524000233526	1.2784529974341e-20	3.05947027661816e-19
Q46939	-3.07693408466246	-3.30142833890718	-2.85243983041774	20.0029761473375	-28.2893146921026	1.35070419016731e-20	3.20474771957647e-19	35.5401781914987	Q46939	6	-28.6871501323056	1.35070419016731e-20	3.20474771957647e-19
P69797	1.15449546457161	1.06913723005159	1.23985369909163	24.8645443946532	27.9161980901003	1.44997350482306e-20	3.41112410965154e-19	35.2231098682941	P69797	36	28.6031828921526	1.44997350482306e-20	3.41112410965154e-19
P36928	0.914708564033944	0.847488454568333	0.981928673499555	19.3920797266154	28.0862006403242	1.48442684344103e-20	3.46283102301873e-19	35.3680817966452	P36928	17	28.5754299806155	1.48442684344103e-20	3.46283102301873e-19
P26616	-0.603750024076099	-0.649499369676416	-0.558000678475782	22.930141711684	-27.2384091362634	1.81601818714226e-20	4.20105540625577e-19	34.6364940257034	P26616	43	-28.3381993340009	1.81601818714226e-20	4.20105540625577e-19
P69811	1.6855204198086	1.5600397758378	1.8110010637794	21.212950975287	27.724692857542	2.05373018463004e-20	4.67395718789287e-19	35.0587732894005	P69811	14	28.194372370975	2.05373018463004e-20	4.67395718789287e-19
